"연도","시도군","분기","주중/말","시간대","성별","인구수"
"2024","산청군","3분기","주말","야간","여","630435"
"2024","산청군","3분기","주말","오전","남","771651"
"2024","산청군","3분기","주말","오전","여","723231"
"2024","산청군","3분기","주말","오후","남","811069"
"2024","산청군","3분기","주말","오후","여","777205"
"2024","산청군","4분기","평일","새벽","남","1283976"
"2024","산청군","4분기","평일","새벽","여","1245634"
"2024","산청군","4분기","평일","야간","남","1306623"
"2024","산청군","4분기","평일","야간","여","1266263"
"2024","산청군","4분기","평일","오전","남","1450238"
"2024","산청군","4분기","평일","오전","여","1357844"
"2024","산청군","4분기","평일","오후","남","1481929"
"2024","산청군","4분기","평일","오후","여","1398672"
"2024","산청군","4분기","주말","새벽","남","585370"
"2024","산청군","4분기","주말","새벽","여","578338"
"2024","산청군","4분기","주말","야간","남","573812"
"2024","산청군","4분기","주말","야간","여","569312"
"2024","산청군","4분기","주말","오전","남","668111"
"2024","산청군","4분기","주말","오전","여","652069"
"2024","산청군","4분기","주말","오후","남","682811"
"2024","산청군","4분기","주말","오후","여","676012"
"2024","양산시","1분기","평일","새벽","남","12478938"
"2024","양산시","1분기","평일","새벽","여","12424788"
"2024","양산시","1분기","평일","야간","남","12466966"
"2024","양산시","1분기","평일","야간","여","12380056"
"2024","양산시","1분기","평일","오전","남","12408515"
"2024","양산시","1분기","평일","오전","여","12338069"
"2024","양산시","1분기","평일","오후","남","12376447"
"2024","양산시","1분기","평일","오후","여","12276180"
"2024","양산시","1분기","주말","새벽","남","4985567"
"2024","양산시","1분기","주말","새벽","여","4959198"
"2024","양산시","1분기","주말","야간","남","4951214"
"2024","양산시","1분기","주말","야간","여","4944678"
"2024","양산시","1분기","주말","오전","남","4964666"
"2024","양산시","1분기","주말","오전","여","4934921"
"2024","양산시","1분기","주말","오후","남","4970553"
"2024","양산시","1분기","주말","오후","여","4936922"
"2024","양산시","2분기","평일","새벽","남","12493629"
"2024","양산시","2분기","평일","새벽","여","12441912"
"2024","양산시","2분기","평일","야간","남","12422909"
"2024","양산시","2분기","평일","야간","여","12346831"
"2024","양산시","2분기","평일","오전","남","12396207"
"2024","양산시","2분기","평일","오전","여","12359885"
"2024","양산시","2분기","평일","오후","남","12312181"
"2024","양산시","2분기","평일","오후","여","12243890"
"2024","양산시","2분기","주말","새벽","남","4970189"
"2024","양산시","2분기","주말","새벽","여","4941404"
"2024","양산시","2분기","주말","야간","남","4913618"
"2024","양산시","2분기","주말","야간","여","4907530"
"2024","양산시","2분기","주말","오전","남","4946597"
"2024","양산시","2분기","주말","오전","여","4905300"
"2024","양산시","2분기","주말","오후","남","4884503"
"2024","양산시","2분기","주말","오후","여","4840114"
"2024","양산시","3분기","평일","새벽","남","12631167"
"2024","양산시","3분기","평일","새벽","여","12577841"
"2024","양산시","3분기","평일","야간","남","12557362"
"2024","양산시","3분기","평일","야간","여","12479182"
"2024","양산시","3분기","평일","오전","남","12481219"
